tname;tdate;ttext;tgeo
cRe News;2016-07-26 09:29:51;Здания СПбГУ продадут или сдадут в аренду https://t.co/vf6bc9IDZJ;None
Ирина Гаева;2016-07-26 09:23:59;RT @1606Kreator: Переезд СПбГУ – кто выиграет? https://t.co/zURXW1Y9i5;None
моргай;2016-07-26 09:03:00;А их нет. Ну, разве что мне из СПбГУ звонили.;None
Garry Tuber;2016-07-26 08:30:31;RT @1606Kreator: Переезд СПбГУ – кто выиграет? https://t.co/zURXW1Y9i5;None
PollyBarsuk;2016-07-26 07:51:31;Я прошла в СПбГУ🎉🎉🎉🎉;None
Ninel;2016-07-26 06:55:38;напротив сидит парень точно в такой же футболке, как у меня тот же цвет та же эмблема спбгу и похоже тот же размер;None
Крыс;2016-07-26 04:51:08;@TodayRight спбгу? А куда ты подала?;None
Маргарита Курипко;2016-07-26 02:52:05;#бланк заявления на поступление в вуз 2015 спбгу https://t.co/M5btIu4TPV;None
Михаил Трухин;2016-07-26 01:28:03;#500aday спбгу бланк заявления для поступления на бакалавриат https://t.co/OlkBrryund;None
Кирилл Ильин;2016-07-26 01:24:17;https://t.co/7YzXWZWEFM #спбгу образец заявления на поступление 2015;None
фрай;2016-07-25 21:43:45;Почему я должна поступать в МГУ или СПбГУ на юрфак или истфак если я хочу рисовать;None
Архип Снгеда;2016-07-25 19:49:49;Знамеровская Татьяна Петровна // Биографика СПбГУ;None
Роман Баник;2016-07-25 18:53:09;Трудо ли поступить в СПБГУ на факультет Менеджмента?;None
Надя Смирнова;2016-07-25 18:25:12;СПбГУ лишил ученой степени одного из авторов «закона о забвении»;None
sol;2016-07-25 18:11:30;@revyusha она в спбгу и в мгу проходит, не хочет в мгу идти и я грущу поэтому(((;None
alumnispbu;2016-07-25 18:00:05;#выпускникиговорят  Отличный афоризм  #spbu #alumnispbu #СПбГУ #АВСПбГУ https://t.co/jiqQHAPSux;None
Молчание - золото!;2016-07-25 17:56:18;Почетные учёные звания: Почётный доктор юридического права СПбГУ.;None
Кокурин Аристарх;2016-07-25 17:45:36;Социологи есть?(СПбГУ);None
Антон Андрусян;2016-07-25 17:29:47;Стоит ли поступать в СПбГУ ИТМО?;None
Оскар Джисанов;2016-07-25 16:30:09;Возможно ли поступить на факультет журналиста в СПбГУ;None
щетинушка'с др дэмис;2016-07-25 16:28:52;@jimmie_crying net, в этом году уже и спбгу окончила 😄;None
Байталюк Виктор;2016-07-25 16:25:40;Разыскиваются! Студенты СПбГУ! (*студентки социологического на особом положении);None
syttifemte;2016-07-25 16:02:28;Настя в РУДН (Москва), Дима в НГУ (Новосибирск), я в СПбГУ (Санкт-Петербург)...;None
Виктор Бутаенко;2016-07-25 15:37:34;Где в Санкт-Петербурге есть факультет журналистики кроме СПбГУ?;None
Туряк Валентин;2016-07-25 14:52:05;Возможно ли поступить на факультет журналиста в СПбГУ;None
Петр Орлов;2016-07-25 14:37:01;https://t.co/2BzyY3THQe бланк заявления на поступление в вуз 2015 спбгу;None
Теодор Препелкин;2016-07-25 14:06:19;Когда День открытых дверей на социологии в СПбГУ?;None
Аглая;2016-07-25 13:53:05;RT @5uglov_spb: Самые доступные и недоступные → https://t.co/Diz5WFF3ZI  #спбгу #мгу https://t.co/2D50xmbaWB;None
wieczórowska;2016-07-25 13:14:15;@gbntfrk оригинал в СПБГУ уже давно пылится, но я чёто даже не надеюсь уже.;None
a2ch.ru;2016-07-25 12:49:23;В тред призываются аноны, учащиеся на магистратуре юрфака СПбГУ. Ну или лица, владеющие информацией. Интересует воз https://t.co/wEyFfyQiBX;None
подкинь монеток;2016-07-25 12:19:59;Поступила во все вузы, в которые подавала документы. Даже в спбгу бля;None
Богдан Литвин;2016-07-25 12:03:26;RT @paperpaper_ru: Лев Лурье написал колонку о переезде СПбГУ под Гатчину, в которой перечислил возможные причины этого решения https://t.c…;None
Yulia Tarnovskaya;2016-07-25 11:49:22;Ну все, СПбГУ, приветик👋🏻 https://t.co/vJilyxaYgw;None
Бреган Лазарь;2016-07-25 11:02:34;Возможно ли поступить на факультет журналиста в СПбГУ;None
Мотто Панакейку;2016-07-25 10:42:11;Иду собеседоваться на должность человека в будочке. Восемь лет в СПбГУ,  пять лет в журналистике. Высшая точка моей карьеры.;None
Дмитрий;2016-07-25 10:39:48;Радует, когда тебе звонят из приемной комиссии СПбГУ, МИФИ и УрФУ, и говорят, что зачислят, при подаче оригинала));None
Lyubow Pulyaeva;2016-07-25 10:38:13;Лев Лурье написал колонку о переезде СПбГУ под Гатчину https://t.co/gARemjDzwT с помощью @paperpaper_ru;None
Артем;2016-07-25 10:23:07;RT @paperpaper_ru: Лев Лурье написал колонку о переезде СПбГУ под Гатчину, в которой перечислил возможные причины этого решения https://t.c…;None
bundas, otvechau';2016-07-25 09:39:57;RT @villagespb: Лев Лурье прокомментировал идею переезда СПбГУ в Гатчину. https://t.co/792UfTpvTT https://t.co/tSka7hQfzc;None
spb1724;2016-07-25 09:30:53;Друзья, Студенческий совет #СПбГУ проводит конкурс на разработку логотипа "Мисс СПбГУ - 2016”! /  / Лого.. https://t.co/yyAnJKvJoD;None
spb1724;2016-07-25 09:30:53;Друзья, Студенческий совет #СПбГУ проводит конкурс на разработку логотипа "Мисс СПбГУ - 2016”! /  / Лого.. https://t.co/yyAnJKNkNd;None
Газета «Бумага»;2016-07-25 09:25:07;Лев Лурье написал колонку о переезде СПбГУ под Гатчину, в которой перечислил возможные причины этого решения https://t.co/XXnYWB1lma;None
MARITTA;2016-07-25 09:11:02;RT @villagespb: Лев Лурье прокомментировал идею переезда СПбГУ в Гатчину. https://t.co/792UfTpvTT https://t.co/tSka7hQfzc;None
_;2016-07-25 09:05:23;позвонили с спбгу . Уж не знаю, кто там был на проводе, но у него такой клевый смех😍😂;None
Mikhail Gruznov;2016-07-25 09:01:29;Лев Лурье о запланированном переезде СПбГУ под Гатчину  https://t.co/inHwHJSjGt;None
чайка, которая ждёт;2016-07-25 08:46:27;Меня зачислили в спбгу.;None
Ирина Гаева;2016-07-25 08:30:59;Переезд СПбГУ – кто выиграет? https://t.co/zURXW1Y9i5;None
Dasha Micheva;2016-07-25 08:26:27;Дерзкая статья.Историк Лев Лурье о грядущем переезде СПбГУ в Гатчину https://t.co/hN3sdD8LIf с помощью @dprunews;None
Bizarre;2016-07-25 08:26:18;Историк Лев Лурье о грядущем переезде СПбГУ в Гатчину https://t.co/FvW9NWBFfo с помощью @dprunews;None
TheVillage Петербург;2016-07-25 08:20:59;Лев Лурье прокомментировал идею переезда СПбГУ в Гатчину. https://t.co/792UfTpvTT https://t.co/tSka7hQfzc;None
Ева Ковалёва;2016-07-25 08:00:36;#sun  #eyes  #instafollow   спбгу выборг;None
Алина Давыдова;2016-07-25 07:14:45;#followme #деньги #follow  спбгу журналистика;None
Introvert Guppy;2016-07-25 00:10:07;Дат фил когда видишь в Ярославле идущих навстречу чистматовцев спбгу, которым вообще здесь быть не положено.;None
ФанПромо;2016-07-24 23:09:16;СПбГУ, Санкт-Петербургский государственный университет #фанпромо https://t.co/1HdaC3XqVS;None
Alex Kramer;2016-07-24 20:11:18;Историк Лев Лурье о грядущем переезде СПбГУ в Гатчину https://t.co/Bd27WnmnjN с помощью @dprunews;None
Лилия Федотова;2016-07-24 19:56:54;#осень #новости #любовь  спбгу олимпиад;None
Балбас Теодор;2016-07-24 19:55:16;Я хочу поступить в СПБГУ на зкономический,как вы думаете на бюджет реально?;None
Леопольд Батаев;2016-07-24 18:27:46;Парни, кто живет в общежитии СПбГУ и знает Рому с 4 курса?;None
(((Тиронн Мид)));2016-07-24 17:29:42;RT @stalist19911: СПбГУ в Гатчину, зачем? https://t.co/1HQUtNmZJF;None
Stalist;2016-07-24 17:21:20;СПбГУ в Гатчину, зачем? https://t.co/1HQUtNmZJF;None
Вова Кондратенко;2016-07-24 16:34:19;#ifb бланк заявления на поступление в вуз 2015 спбгу https://t.co/qXDvCu70B3;None
かおり;2016-07-24 14:24:52;Хочу в СПбГУ! └(๑•̀ㅁ•́๑└)✧;None
Марсианская Правда;2016-07-24 13:34:55;@rt_russian Так её и не было никогда. Кто верит в существование реальности - тот пусть посмотрит лекции профессора СПбГУ Т.Черниговской.;None
Борейлен Алексей;2016-07-24 13:29:05;В СПбГУ уже начались курсы китайского?Где нибудь еще есть?;None
счастливый цыганёнок;2016-07-24 13:28:58;@aanaokay у меня спбгу уже давно переместился в разряд мечтаний((((((((((;None
Теодор Деменков;2016-07-24 12:38:05;Какие экзамены сдают на психфаке СПбГУ при поступлении на второе высшее?;None
Басакин Григорий;2016-07-24 10:48:31;какие жизненные приоритеты должны быть у студента СПбГУ?;None
Борис Каплуненко;2016-07-24 10:32:59;Может, кто учится в СПбГУ на географическом факультете, трудно поступить?;None
Вольфман Анатолий;2016-07-24 09:30:52;Социологи есть?(СПбГУ);None
Давид Бозяк;2016-07-24 09:26:42;Социологи есть?(СПбГУ);None
сенека;2016-07-24 09:16:51;желаю удачи и ему и всем сыновьям его друзей, о которых он не перестает мне втирать. пусть и дальше мечтает об спбгу;None
Igor303;2016-07-24 08:50:12;RT @exzellenz: «Альтернатиива для Гермаинии»  Идеология:  германский национализм. В руководстве партии проф. СПбГУ Ирина Смирнова https://t…;None
Совковый Донецк;2016-07-24 08:45:31;«Альтернатиива для Гермаинии»  Идеология:  германский национализм. В руководстве партии проф. СПбГУ Ирина Смирнова https://t.co/2ZsWkblNuO;None
Nata Shch;2016-07-24 07:56:45;блеать смешно, 50 млрд всего лишь рублей ЛОЛ -- Историк Лев Лурье о грядущем переезде СПбГУ в Гатчину https://t.co/qJWx5BwTJe via @dprunews;None
Ganendra Lydden;2016-07-24 07:55:37;СПбГУ будет принимать документы об образовании, выданные ДНР и ЛНР.;None
Руслан Горовенко;2016-07-24 07:52:49;Есть люди которые учатся в СПБГУ Кино и Телевидения?;None
Артемий Верзилин;2016-07-24 07:30:09;Иногородние студенты Филологического факультета СПбГУ, откликнитесь: whispering_leaf@mail.ru.;None
alumnispbu;2016-07-24 07:03:46;#наукавспбгу  "...по биологии в последние годы в СПбГУ произошел настоящий прорыв", - сообщил Игорь Тихонович —... https://t.co/ejSRxiqhWU;None
Евгений Веруш;2016-07-24 00:53:13;#mention заявление о приеме на образовательную программу спбгу https://t.co/V7b0jpLN3r;None
СладкоНЕежка;2016-07-23 23:07:34;В школу хочу В СПбГУ на уроки мастера хочу А к репетиторам не хочу, уууу;None
Вероника Гусева;2016-07-23 22:19:13;дата начала зимней сессии 2015-2016 очного обучения спбгу #любовь #котэ #деньги;None
шальная либертин;2016-07-23 21:29:02;верите или нет, а в СПбГУ я поступлю! ваше сомнение будет меня еще больше мотивировать, сучки!;None
катя;2016-07-23 19:12:18;блеать вот читаешь паблос абитуры 2016 и все такие "спокойно прохожу в мгу", "имею БВИ в Вышке", "чо лучше СПбГУ или мгимо".  ярыдаю.;None
Vladislav;2016-07-23 18:50:01;На самом деле я уже столько раз лажал с СПбГУ, что кажется, не судьба мне там быть студентом;None
parker.;2016-07-23 18:01:37;Если в следующем году будет такой же конкурс, то у меня все шансы попасть в СПБГУ;None
† ranker †;2016-07-23 17:57:21;спбгу хотят перенести в Гатчину... класс;None
m_isay;2016-07-23 17:44:10;СПбГУ переносят?рил? https://t.co/YJ2JPfn9oq;None
Птичий Команданте.;2016-07-23 17:43:01;Услышала в новостях, что Спбгу собирается куда-то далеко переезжать. Ээээ, нет, точно не поступаю.;None
Брайцев Иосиф;2016-07-23 16:25:29;Разыскиваются! Студенты СПбГУ! (*студентки социологического на особом положении);None
spb1724;2016-07-23 16:13:01;#СПбГУ доверили реформу русского языка. /  / https://t.co/diMQy7QBoG.. https://t.co/HHoNbfkyEN;None
Герман Бурфан;2016-07-23 13:55:17;Скажите кто-нибудь: как поступить в СПбГУ на бюджетку?;None
Карен Сечених;2016-07-23 13:24:59;Объясните чем FCE(СПбГУ) отличается от FCE(Оксфорд) по английскому?;None
Ламин Лев;2016-07-23 13:16:11;В СПбГУ уже начались курсы китайского?Где нибудь еще есть?;None
alumnispbu;2016-07-23 13:01:51;#новостиспбгу  Министерство образования и науки РФ запросило мнение руководства #СПбГУ о необходимости создания в... https://t.co/SVLWVL2P5m;None
spb1724;2016-07-23 12:41:02;Франц Кафка. /  / Лекция Андрея Аствацатурова, филолога, писателя и доцента #СПбГУ. https://t.co/z5RHxvHu3B;None
Олесь Белеенко;2016-07-23 11:17:31;Может, кто учится в СПбГУ на географическом факультете, трудно поступить?;None
林唯生;2016-07-23 10:14:14;&gtМагистрант экономического ф-та СПбГУ, мизантроп и интроверт;None
Тарас Гродзевич;2016-07-23 09:52:53;В СПбГУ уже начались курсы китайского?Где нибудь еще есть?;None
Базиченко Вилли;2016-07-23 09:34:22;Помогите пожалуйста.. расскажите о ПСИХ. ФАКЕ. СПбГУ!;None
Билли Кондрат;2016-07-23 09:12:40;Возможно ли поступить на факультет журналиста в СПбГУ;None
alumnispbu;2016-07-23 09:02:03;#новостиспбгу  #СПбГУ и Министерство внешних экономических связей и иностранных дел Венгрии заключили соглашение... https://t.co/gKECpT0dqE;None
Анастасия Пономарева;2016-07-23 08:02:44;#котята #котики #картинки  спбгу выборг;None
Бригас Виктор;2016-07-23 08:02:20;Куда лучше на Менеджмент поступать: в СПбГУ, ФИННЭК или ИНЖЭКОН?;None
Варвара Бондарчука;2016-07-23 07:58:02;https://t.co/ByiBmjo4dZ спбгу подать заявление;None
ы;2016-07-23 06:14:57;Нормальные вузы - это МГУ и СПбГУ, остальное всё днище. (с)Человек, который набрал ~ 130 баллов и идёт в колледж в своём городе. Лол.;None
Павел Устрица;2016-07-23 03:33:06;заявление на имя ректора спбгу https://t.co/5Lt1FfVRHl;None
BLACK ♠ HEART;2016-07-22 22:47:26;@Chokolate0077 СПбГУ дороже 😔;None
•victoria•;2016-07-22 22:19:09;@thecatcherxx ну это СПбГУ и МГУ А если брать белгу Какая престижность лол;None
каtя;2016-07-22 22:17:21;@1__Tori__1 просто в вузах типо МГУ и СПбГУ все престижно они хотя бы в  ТОП 300 мировой входят а само направление не зн чо как;None
каtя;2016-07-22 22:12:10;@1__Tori__1 ааа Дуров вот закончил мат. лингвистику но он в СПбГУ;None
О Георгиевич;2016-07-22 21:10:23;#всем Реформу русского языка доверили СПбГУ и РПЦ https://t.co/NZmZvEy0KV #новостиДня;None
Матвей Пестеров;2016-07-22 21:10:19;#читай Реформу русского языка доверили СПбГУ и РПЦ https://t.co/s7BJSnGWcu #новости;None
Хитклифф;2016-07-22 20:14:46;Вчера решила, что поступаю в Политех. Сегодня - в СПбГУ. Болевая ЧИ плачет, но продолжает грызть кактус.;None
Роман Аферин;2016-07-22 19:56:30;Кто возьмет на работу студентку дневного отделения СПбГУ?);None
Владимир;2016-07-22 18:55:57;Реформой русского языка займутся РПЦ и СПбГУ https://t.co/YPG4WcyUCf;None
Анатолий Масликов;2016-07-22 18:19:55;RT @spb_university: Гигантский процент того, что мы делаем, мы делаем бессознательно. © Т.В. Черниговская #СПбГУ;None
СПбГУ;2016-07-22 18:00:26;Гигантский процент того, что мы делаем, мы делаем бессознательно. © Т.В. Черниговская #СПбГУ;None
Yusup;2016-07-22 17:54:44;RT @boris_vis: Направил письмо ректору СПбГУ в связи с планами переезда под Гатчину https://t.co/srXUJs6AgK;None
Хитклифф;2016-07-22 17:42:19;Подала сегодня документы в СПбГУ 😅 https://t.co/ICbVwHdU85;None
Леонид Томах;2016-07-22 16:36:37;Хочу пойти с СПБГУ на второе высшее на журфак, потом легче будет устроиться работать на радио или телевиденье?;None
просто крис;2016-07-22 12:16:25;@kseyhich ну тип спбгу, лобач, а в мск ток мгу;None
